"spp","matched_filename","aou","english_common_name","ssi","n_zero"
"abetow","Melozone_aberti",5920,"Abert's Towhee",2.2704817965447,2
"acafly","Empidonax_virescens",4650,"Acadian Flycatcher",1.36661352255914,4
"acowoo","Melanerpes_formicivorus",4070,"Acorn Woodpecker",1.06857997739832,1
"aldfly","Empidonax_alnorum",4661,"Alder Flycatcher",0.600886443877404,1
"allhum","Selasphorus_sasin",4340,"Allen's Hummingbird",1.60000478722325,3
"altori","Icterus_gularis",5031,"Altamira Oriole",1.78076227012215,0
"amecro","Corvus_brachyrhynchos",4880,"American Crow",0.998312456612513,0
"amegfi","Carduelis_tristis",5290,"American Goldfinch",1.32415130324379,1
"amepip","Anthus_rubescens",6970,"American Pipit",1.28239413032216,3
"amered","Setophaga_ruticilla",6870,"American Redstart",1.14796149402614,0
"amerob","Turdus_migratorius",7610,"American Robin",0.540233180905199,0
"amtspa","Spizella_arborea",5590,"American Tree Sparrow",1.11704191169464,2
"annhum","Calypte_anna",4310,"Anna's Hummingbird",1.35223679364022,3
"arcwar1","Phylloscopus_borealis",7470,"Arctic Warbler",NA,0
"ariwoo","Leuconotopicus_arizonae",3975,"Arizona Woodpecker",1.38089716424442,2
"astfly","Myiarchus_cinerascens",4540,"Ash-throated Flycatcher",1.58128028085961,0
"attwoo1",NA,NA,NA,NA,0
"audori","Icterus_graduacauda",5030,"Audubon's Oriole",1.43330268503353,0
"babwar","Dendroica_castanea",6600,"Bay-breasted Warbler",1.53595097758279,3
"bacspa","Peucaea_aestivalis",5750,"Bachman's Sparrow",2.0896440547439,0
"baispa","Ammodramus_bairdii",5450,"Baird's Sparrow",1.82032353299847,3
"balori","Icterus_galbula",5070,"Baltimore Oriole",1.59898714024907,5
"banswa","Riparia_riparia",6160,"Bank Swallow",0.867560883116534,0
"barswa","Hirundo_rustica",6130,"Barn Swallow",0.778612952147626,0
"batpig1","Patagioenas_fasciata",3120,"Band-tailed Pigeon",0.904488301358257,3
"bawwar","Mniotilta_varia",6360,"Black-and-white Warbler",1.2878465861722,1
"bcrfin","Leucosticte_australis",5260,"Brown-capped Rosy-Finch",1.03634925635188,2
"belspa2","Amphispiza_belli",5739,"Bell's Sparrow",1.91251197291515,2
"belvir","Vireo_bellii",6330,"Bell's Vireo",1.2881115882709,0
"benthr","Toxostoma_bendirei",7080,"Bendire's Thrasher",2.57439535492681,4
"bewwre","Thryomanes_bewickii",7190,"Bewick's Wren",1.4801407364869,4
"bicthr","Catharus_bicknelli",7571,"Bicknell's Thrush",1.74219635091815,3
"bkbcuc","Coccyzus_erythropthalmus",3880,"Black-billed Cuckoo",1.44600228899912,9
"bkbmag1",NA,NA,NA,NA,0
"bkbwar","Dendroica_fusca",6620,"Blackburnian Warbler",1.28911859421145,1
"bkbwoo","Picoides_arcticus",4000,"Black-backed Woodpecker",1.05806945745622,2
"bkcchi","Parus_atricapillus",7350,"Black-capped Chickadee",0.938664932369085,0
"bkchum","Archilochus_alexandri",4290,"Black-chinned Hummingbird",1.75049726043203,3
"bkcspa","Spizella_atrogularis",5650,"Black-chinned Sparrow",1.47952617919225,1
"bkcvir1","Vireo_atricapilla",6300,"Black-capped Vireo",1.43445451031894,0
"bkhgro","Pheucticus_melanocephalus",5960,"Black-headed Grosbeak",0.926945495054864,2
"bkhpar",NA,NA,NA,NA,0
"bkpwar","Dendroica_striata",6610,"Blackpoll Warbler",0.679968941156513,0
"bkrfin","Leucosticte_atrata",5250,"Black Rosy-Finch",1.21350620335823,2
"bktgna","Polioptila_melanura",7520,"Black-tailed Gnatcatcher",2.1877937808114,0
"bktspa","Amphispiza_bilineata",5730,"Black-throated Sparrow",2.03678502267847,1
"bkwvir","Vireo_altiloquus",6230,"Black-whiskered Vireo",3.13486702449504,8
"blctit4","Baeolophus_atricristatus",7320,"Black-crested Titmouse",1.62018543168615,0
"blkpho","Sayornis_nigricans",4580,"Black Phoebe",1.28604936817504,1
"blkswi","Cypseloides_niger",4220,"Black Swift",1.12627152993178,0
"blueth","Luscinia_svecica",7640,"Bluethroat",2.00303472007151,1
"blugrb1","Passerina_caerulea",5970,"Blue Grosbeak",0.795386213998051,1
"blujay","Cyanocitta_cristata",4770,"Blue Jay",1.15537858865382,3
"bncfly","Myiarchus_tyrannulus",4530,"Brown-crested Flycatcher",1.49528133592772,0
"bnhcow","Molothrus_ater",4950,"Brown-headed Cowbird",0.896131475688404,1
"bnhnut","Sitta_pusilla",7290,"Brown-headed Nuthatch",1.44519402253209,0
"boboli","Dolichonyx_oryzivorus",4940,"Bobolink",1.55164734958569,8
"bohwax","Bombycilla_garrulus",6180,"Bohemian Waxwing",0.691393464690236,0
"borchi2","Parus_hudsonicus",7400,"Boreal Chickadee",0.758694788571435,1
"botgra","Quiscalus_major",5130,"Boat-tailed Grackle",1.54129138928555,2
"botspa","Peucaea_botterii",5760,"Botteri's Sparrow",2.2860166883616,0
"brbhum","Cynanthus_latirostris",4410,"Broad-billed Hummingbird",1.99549143969716,0
"brebla","Euphagus_cyanocephalus",5100,"Brewer's Blackbird",1.50666677612866,4
"brespa","Spizella_breweri",5620,"Brewer's Sparrow",1.93616872518345,3
"britit","Baeolophus_wollweberi",7340,"Bridled Titmouse",1.37198146092637,0
"brncre","Certhia_americana",7260,"Brown Creeper",1.19911529377711,1
"brnthr","Toxostoma_rufum",7050,"Brown Thrasher",1.26698295380999,5
"brocow","Molothrus_aeneus",4960,"Bronzed Cowbird",1.50767674969018,0
"brthum","Selasphorus_platycercus",4320,"Broad-tailed Hummingbird",1.16410425958517,1
"btbwar","Dendroica_caerulescens",6540,"Black-throated Blue Warbler",1.45489608692715,2
"btnwar","Dendroica_virens",6670,"Black-throated Green Warbler",1.30860453249988,2
"btywar","Dendroica_nigrescens",6650,"Black-throated Gray Warbler",1.19220767755241,4
"bubfly","Empidonax_fulvifrons",4700,"Buff-breasted Flycatcher",1.12958368870647,1
"bubhum","Amazilia_yucatanensis",4390,"Buff-bellied Hummingbird",1.95970534058785,0
"buggna","Polioptila_caerulea",7510,"Blue-gray Gnatcatcher",0.941794148801137,5
"buhvir","Vireo_solitarius",6290,"Blue-headed Vireo",1.37338471836563,3
"bulori","Icterus_bullockii",5080,"Bullock's Oriole",1.35724005430982,3
"bushti","Psaltriparus_minimus",7430,"Bushtit",1.00439916057103,4
"buwwar","Vermivora_cyanoptera",6410,"Blue-winged Warbler",1.50550867594365,4
"cacwre","Campylorhynchus_brunneicapillus",7130,"Cactus Wren",2.04994839025273,0
"calgna","Polioptila_californica",7530,"California Gnatcatcher",2.35713896668909,5
"calhum","Selasphorus_calliope",4360,"Calliope Hummingbird",1.53991535937718,3
"calqua","Callipepla_californica",2940,"California Quail",1.17623107603073,4
"calthr","Toxostoma_redivivum",7100,"California Thrasher",1.24565516230153,1
"caltow","Melozone_crissalis",5911,"California Towhee",1.20743671395358,1
"camwar","Dendroica_tigrina",6500,"Cape May Warbler",1.23620981316697,1
"cantow",NA,NA,NA,NA,0
"canwar","Wilsonia_canadensis",6860,"Canada Warbler",1.51785266013143,4
"canwre","Catherpes_mexicanus",7170,"Canyon Wren",1.6536279040536,4
"carchi","Parus_carolinensis",7360,"Carolina Chickadee",0.964100911797542,0
"carwre","Thryothorus_ludovicianus",7180,"Carolina Wren",1.16986561665302,4
"casfin","Carpodacus_cassinii",5180,"Cassin's Finch",1.55032575528085,3
"caskin","Tyrannus_vociferans",4480,"Cassin's Kingbird",1.25150870322204,0
"casspa","Peucaea_cassinii",5780,"Cassin's Sparrow",1.60276397696412,1
"casvir","Vireo_cassinii",6291,"Cassin's Vireo",1.19058148160333,0
"cavswa","Petrochelidon_fulva",6121,"Cave Swallow",1.47834354809913,0
"cedwax","Bombycilla_cedrorum",6190,"Cedar Waxwing",0.84764301316221,0
"cerwar","Dendroica_cerulea",6580,"Cerulean Warbler",1.61060055485324,0
"chbchi","Parus_rufescens",7410,"Chestnut-backed Chickadee",1.40260394426394,1
"chclon","Calcarius_ornatus",5380,"Chestnut-collared Longspur",2.07057393926733,4
"chirav","Corvus_cryptoleucus",4870,"Chihuahuan Raven",1.85223233859597,0
"chispa","Spizella_passerina",5600,"Chipping Sparrow",0.667548846482336,0
"chiswi","Chaetura_pelagica",4230,"Chimney Swift",1.35053239546782,5
"chswar","Dendroica_pensylvanica",6590,"Chestnut-sided Warbler",1.25119527405692,2
"chukar","Alectoris_chukar",2882,"Chukar",1.64356935748543,4
"clanut","Nucifraga_columbiana",4910,"Clark's Nutcracker",1.27808149941007,3
"clcspa","Spizella_pallida",5610,"Clay-colored Sparrow",1.08583990718743,2
"cliswa","Petrochelidon_pyrrhonota",6120,"Cliff Swallow",0.927356042742679,0
"comgra","Quiscalus_quiscula",5110,"Common Grackle",1.15852266202054,1
"commyn","Acridotheres_tristis",4932,"Common Myna",2.49763873657142,8
"comrav","Corvus_corax",4860,"Common Raven",0.4032808096468,0
"comred","Carduelis_flammea",5280,"Common Redpoll",0.811052707415025,1
"comyel","Geothlypis_trichas",6810,"Common Yellowthroat",0.806612505226977,0
"conwar","Oporornis_agilis",6780,"Connecticut Warbler",1.1845350293709,4
"corfly","Empidonax_occidentalis",4640,"Cordilleran Flycatcher",1.1459051543301,4
"coshum","Calypte_costae",4300,"Costa's Hummingbird",2.15609646513914,1
"coukin","Tyrannus_couchii",4461,"Couch's Kingbird",1.7803429342774,0
"cowscj1","Aphelocoma_californica",4812,"California Scrub-Jay",1.09888784734313,1
"crithr","Toxostoma_crissale",7120,"Crissal Thrasher",2.1378089388199,1
"cubthr","Toxostoma_curvirostre",7070,"Curve-billed Thrasher",1.62732125214224,0
"dowwoo","Dryobates_pubescens",3940,"Downy Woodpecker",1.11499433914881,0
"ducfly","Myiarchus_tuberculifer",4550,"Dusky-capped Flycatcher",1.76770186119053,0
"dusfly","Empidonax_oberholseri",4690,"Dusky Flycatcher",1.28316495568282,1
"easblu","Sialia_sialis",7660,"Eastern Bluebird",1.08397664809478,4
"easkin","Tyrannus_tyrannus",4440,"Eastern Kingbird",1.21533942660008,1
"easmea","Sturnella_magna",5010,"Eastern Meadowlark",1.03605188053969,3
"easpho","Sayornis_phoebe",4560,"Eastern Phoebe",1.21239612483299,2
"eastow","Pipilo_erythrophthalmus",5870,"Eastern Towhee",1.33038843976843,5
"eawpew","Contopus_virens",4610,"Eastern Wood-Pewee",1.26709431234523,4
"eaywag",NA,NA,NA,NA,0
"eletro","Trogon_elegans",3890,"Elegant Trogon",NA,0
"eucdov",NA,NA,NA,NA,0
"eursta","Sturnus_vulgaris",4930,"European Starling",1.38900199714504,0
"eutspa","Passer_montanus",6883,"Eurasian Tree Sparrow",1.72784761775112,3
"evegro","Coccothraustes_vespertinus",5140,"Evening Grosbeak",1.29005367118317,1
"fiespa","Spizella_pusilla",5630,"Field Sparrow",1.41535545459735,4
"fiscro","Corvus_ossifragus",4900,"Fish Crow",1.21509091551075,0
"flsjay","Aphelocoma_coerulescens",4790,"Florida Scrub-Jay",1.64920264983344,2
"fotfly","Tyrannus_savana",4420,"Fork-tailed Flycatcher",2.13877309419535,0
"foxspa","Passerella_iliaca",5850,"Fox Sparrow",0.90513725848204,1
"gamqua","Callipepla_gambelii",2950,"Gambel's Quail",2.10377116632378,2
"gchwar","Dendroica_chrysoparia",6660,"Golden-cheeked Warbler",1.20442749422452,2
"gcrfin","Leucosticte_tephrocotis",5240,"Gray-crowned Rosy-Finch",2.07285502970103,2
"gilfli","Colaptes_chrysoides",4140,"Gilded Flicker",2.48961518299497,2
"gilwoo","Melanerpes_uropygialis",4110,"Gila Woodpecker",1.84905765136319,0
"gnttow","Pipilo_chlorurus",5900,"Green-tailed Towhee",1.511942308912,2
"gockin","Regulus_satrapa",7480,"Golden-crowned Kinglet",1.1916602903068,0
"gocspa","Zonotrichia_atricapilla",5570,"Golden-crowned Sparrow",1.43158930929924,1
"gofwoo","Melanerpes_aurifrons",4100,"Golden-fronted Woodpecker",1.43424559393332,0
"gowwar","Vermivora_chrysoptera",6420,"Golden-winged Warbler",1.47467464239509,4
"graspa","Ammodramus_savannarum",5460,"Grasshopper Sparrow",1.79997126759702,5
"grawar","Dendroica_graciae",6640,"Grace's Warbler",1.07915330059075,1
"grbani","Crotophaga_sulcirostris",3840,"Groove-billed Ani",1.7804079952318,0
"grcfly","Myiarchus_crinitus",4520,"Great Crested Flycatcher",1.13886673859277,4
"grekis","Pitangus_sulphuratus",4490,"Great Kiskadee",1.73075853918018,0
"grepew","Contopus_pertinax",4600,"Greater Pewee",1.89849259459733,0
"greroa","Geococcyx_californianus",3850,"Greater Roadrunner",1.73806337810474,1
"grnjay","Cyanocorax_yncas",4830,"Green Jay",1.80306308907456,0
"grpchi","Tympanuchus_cupido",3050,"Greater Prairie-Chicken",2.08740844834664,7
"grtgra","Quiscalus_mexicanus",5120,"Great-tailed Grackle",1.36270203736261,1
"grycat","Dumetella_carolinensis",7040,"Gray Catbird",1.38076428096745,1
"gryfly","Empidonax_wrightii",4691,"Gray Flycatcher",1.93858031901917,4
"grykin","Tyrannus_dominicensis",4450,"Gray Kingbird",1.8333678709207,3
"grypar","Perdix_perdix",2881,"Gray Partridge",1.78480939884915,4
"gryvir","Vireo_vicinior",6340,"Gray Vireo",1.41478600640182,1
"gycthr","Catharus_minimus",7570,"Gray-cheeked Thrush",0.850316520401518,0
"haiwoo","Leuconotopicus_villosus",3930,"Hairy Woodpecker",0.977871510942275,0
"hamfly","Empidonax_hammondii",4680,"Hammond's Flycatcher",1.18691030772705,0
"harspa","Zonotrichia_querula",5530,"Harris's Sparrow",1.53470394834845,2
"henspa","Ammodramus_henslowii",5470,"Henslow's Sparrow",1.28590613000722,0
"heptan","Piranga_flava",6090,"Hepatic Tanager",1.30968136708649,0
"herthr","Catharus_guttatus",7590,"Hermit Thrush",0.839047890243711,1
"herwar","Dendroica_occidentalis",6690,"Hermit Warbler",1.45950044225691,1
"hooori","Icterus_cucullatus",5050,"Hooded Oriole",1.52023020402727,0
"hoowar","Wilsonia_citrina",6840,"Hooded Warbler",1.40722575423049,4
"horlar","Eremophila_alpestris",4740,"Horned Lark",0.950721408132777,0
"houfin","Carpodacus_mexicanus",5190,"House Finch",1.34816450204093,5
"houspa","Passer_domesticus",6882,"House Sparrow",1.45735297667617,3
"houwre","Troglodytes_aedon",7210,"House Wren",1.08362297063535,3
