"spp","matched_filename","aou","english_common_name","ssi","n_zero"
"hutvir","Vireo_huttoni",6320,"Hutton's Vireo",0.941450038543271,3
"incdov","Columbina_inca",3210,"Inca Dove",1.68117984816384,0
"indbun","Passerina_cyanea",5980,"Indigo Bunting",1.24928365077096,4
"issjay","Aphelocoma_insularis",4811,"Island Scrub-Jay",NA,5
"juntit1","Baeolophus_ridgwayi",7331,"Juniper Titmouse",1.39107348445796,2
"kenwar",NA,NA,NA,NA,0
"kirwar","Dendroica_kirtlandii",6700,"Kirtland's Warbler",0.932495427088515,0
"labwoo","Dryobates_scalaris",3960,"Ladder-backed Woodpecker",1.54337379329881,1
"laplon","Calcarius_lapponicus",5360,"Lapland Longspur",1.35652721066609,1
"larbun","Calamospiza_melanocorys",6050,"Lark Bunting",2.45506784778152,5
"larspa","Chondestes_grammacus",5520,"Lark Sparrow",1.31079277953575,3
"lawgol","Carduelis_lawrencei",5310,"Lawrence's Goldfinch",1.13334756055196,1
"lazbun","Passerina_amoena",5990,"Lazuli Bunting",1.35572053863738,3
"leafly","Empidonax_minimus",4670,"Least Flycatcher",0.814973935091666,1
"lepchi","Tympanuchus_pallidicinctus",3070,"Lesser Prairie-Chicken",2.69949073390983,8
"lesgol","Carduelis_psaltria",5300,"Lesser Goldfinch",1.23563211488729,1
"lewwoo","Melanerpes_lewis",4080,"Lewis's Woodpecker",1.94605985819573,5
"linspa","Melospiza_lincolnii",5830,"Lincoln's Sparrow",0.789404470295027,1
"lobthr","Toxostoma_longirostre",7060,"Long-billed Thrasher",1.99987191075337,0
"logshr","Lanius_ludovicianus",6220,"Loggerhead Shrike",1.35181243687415,4
"louwat","Parkesia_motacilla",6760,"Louisiana Waterthrush",1.80207761096054,4
"luchum","Calothorax_lucifer",4370,"Lucifer Hummingbird",2.36513234345609,5
"lucwar","Vermivora_luciae",6430,"Lucy's Warbler",1.97550271617393,1
"macwar",NA,NA,NA,NA,0
"magwar","Dendroica_magnolia",6570,"Magnolia Warbler",1.09547247033091,1
"mancuc","Coccyzus_minor",3860,"Mangrove Cuckoo",2.7049511902937,1
"marwre","Cistothorus_palustris",7250,"Marsh Wren",1.65720130963881,4
"mcclon","Rhynchophanes_mccownii",5390,"McCown's Longspur",2.18453315345818,4
"mexchi","Parus_sclateri",7370,"Mexican Chickadee",1.13019409747457,1
"mexjay4","Aphelocoma_wollweberi",4820,"Mexican Jay",1.12979292456246,0
"monpar","Myiopsitta_monachus",3824,"Monk Parakeet",2.5004258660193,0
"moublu","Sialia_currucoides",7680,"Mountain Bluebird",1.53200461165137,1
"mouchi","Parus_gambeli",7380,"Mountain Chickadee",1.27748193759859,1
"moudov","Zenaida_macroura",3160,"Mourning Dove",0.900070334720055,2
"mouqua","Oreortyx_pictus",2920,"Mountain Quail",1.10750279197585,1
"mouwar",NA,NA,NA,NA,0
"naswar","Vermivora_ruficapilla",6450,"Nashville Warbler",1.14063231583657,2
"nobtyr","Camptostoma_imberbe",4720,"Northern Beardless-Tyrannulet",1.88317702073516,0
"norbob","Colinus_virginianus",2890,"Northern Bobwhite",0.975078801552434,4
"norcar","Cardinalis_cardinalis",5930,"Northern Cardinal",0.945795585528322,4
"norcro","Corvus_caurinus",4890,"Northwestern Crow",1.2682233000158,3
"normoc","Mimus_polyglottos",7030,"Northern Mockingbird",1.07665048958794,5
"norpar","Parula_americana",6480,"Northern Parula",1.13130781009142,1
"norshr4","Lanius_excubitor",6210,"Northern Shrike",1.32959843528946,2
"norwat","Parkesia_noveboracensis",6750,"Northern Waterthrush",0.572462730043849,1
"norwhe","Oenanthe_oenanthe",7650,"Northern Wheatear",1.6230944036068,2
"nrwswa","Stelgidopteryx_serripennis",6170,"Northern Rough-winged Swallow",0.970135446693335,2
"nstspa","Ammodramus_nelsoni",5491,"Nelson's Sparrow",1.98665728043023,6
"nutwoo","Dryobates_nuttallii",3970,"Nuttall's Woodpecker",1.18130702079621,2
"oaktit","Baeolophus_inornatus",7330,"Oak Titmouse",1.03125455597451,1
"olispa","Arremonops_rufivirgatus",5860,"Olive Sparrow",1.54152549271105,0
"oliwar","Peucedramus_taeniatus",6510,"Olive Warbler",1.00138668789293,1
"olsfly","Contopus_cooperi",4590,"Olive-sided Flycatcher",0.941044405571992,1
"orcori","Icterus_spurius",5060,"Orchard Oriole",1.15426352540995,4
"orcwar","Vermivora_celata",6460,"Orange-crowned Warbler",0.897168452154598,1
"ovenbi1","Seiurus_aurocapilla",6740,"Ovenbird",1.19710482131401,1
"pacwre1","Troglodytes_pacificus",7221,"Pacific Wren",1.42332658707136,1
"paired","Myioborus_pictus",6880,"Painted Redstart",1.49297839012326,1
"palwar","Dendroica_palmarum",6720,"Palm Warbler",1.19734895669469,2
"pasfly","Empidonax_difficilis",4641,"Pacific-slope Flycatcher",0.989876155830338,1
"phaino","Phainopepla_nitens",6200,"Phainopepla",1.61936059771841,0
"phivir","Vireo_philadelphicus",6260,"Philadelphia Vireo",1.05084519405018,2
"pilwoo","Hylatomus_pileatus",4050,"Pileated Woodpecker",1.09963696076983,1
"pingro","Pinicola_enucleator",5150,"Pine Grosbeak",0.866453464951766,2
"pinjay","Gymnorhinus_cyanocephalus",4920,"Pinyon Jay",1.79566519615435,2
"pinsis","Carduelis_pinus",5330,"Pine Siskin",0.943725138208443,0
"pinwar","Dendroica_pinus",6710,"Pine Warbler",1.17778864330485,3
"placha","Ortalis_vetula",3110,"Plain Chachalaca",1.99374405133259,0
"plsvir","Vireo_plumbeus",6292,"Plumbeous Vireo",1.35718442421236,4
"prawar","Dendroica_discolor",6730,"Prairie Warbler",1.20124674744256,0
"prowar","Protonotaria_citrea",6370,"Prothonotary Warbler",1.35180766721969,4
"purfin","Carpodacus_purpureus",5170,"Purple Finch",1.33298137080616,1
"purmar","Progne_subis",6110,"Purple Martin",1.15483960825006,5
"pygnut","Sitta_pygmaea",7300,"Pygmy Nuthatch",1.40849218032233,3
"pyrrhu","Cardinalis_sinuatus",5940,"Pyrrhuloxia",2.00235175669717,0
"rebnut","Sitta_canadensis",7280,"Red-breasted Nuthatch",1.11509058839839,1
"rebpig1","Patagioenas_flavirostris",3130,"Red-billed Pigeon",1.88555524161396,0
"rebsap","Sphyrapicus_ruber",4030,"Red-breasted Sapsucker",1.38682534067462,1
"rebwoo","Melanerpes_carolinus",4090,"Red-bellied Woodpecker",1.22891240021225,4
"recpar","Amazona_viridigenalis",3826,"Red-crowned Parrot",1.73842806641967,2
"recwoo","Leuconotopicus_borealis",3950,"Red-cockaded Woodpecker",2.07152316481859,0
"redcro","Loxia_curvirostra",5210,"Red Crossbill",1.10167654962775,0
"reevir1","Vireo_olivaceus",6240,"Red-eyed Vireo",0.955392561751542,0
"refwar","Cardellina_rubrifrons",6900,"Red-faced Warbler",1.46399560773834,5
"rehwoo","Melanerpes_erythrocephalus",4060,"Red-headed Woodpecker",1.2651018518947,5
"rensap","Sphyrapicus_nuchalis",4021,"Red-naped Sapsucker",1.37902668281554,4
"rewbla","Agelaius_phoeniceus",4980,"Red-winged Blackbird",0.914271426498568,0
"rinphe","Phasianus_colchicus",3091,"Ring-necked Pheasant",1.93764725169942,7
"robgro","Pheucticus_ludovicianus",5950,"Rose-breasted Grosbeak",1.11931744775511,1
"rocpig",NA,NA,NA,NA,0
"rocwre","Salpinctes_obsoletus",7150,"Rock Wren",1.39326030077129,2
"rthhum","Archilochus_colubris",4280,"Ruby-throated Hummingbird",1.30713545132624,4
"ruckin","Regulus_calendula",7490,"Ruby-crowned Kinglet",0.817742416423373,1
"rucspa","Aimophila_ruficeps",5800,"Rufous-crowned Sparrow",1.15825037486172,0
"rufgro","Bonasa_umbellus",3000,"Ruffed Grouse",1.04517930998578,1
"rufhum","Selasphorus_rufus",4330,"Rufous Hummingbird",1.10399428008138,0
"rusbla","Euphagus_carolinus",5090,"Rusty Blackbird",0.929065301084085,1
"ruwspa","Peucaea_carpalis",5790,"Rufous-winged Sparrow",1.82592570903789,1
"saggro","Centrocercus_urophasianus",3090,"Greater Sage-Grouse",2.22190482972094,6
"sagspa1",NA,NA,NA,NA,0
"sagthr","Oreoscoptes_montanus",7020,"Sage Thrasher",2.13074585555894,5
"savspa","Passerculus_sandwichensis",5420,"Savannah Sparrow",0.723407653261281,0
"saypho","Sayornis_saya",4570,"Say's Phoebe",1.31581435214547,0
"scaqua","Callipepla_squamata",2930,"Scaled Quail",2.19792681699632,0
"scatan","Piranga_olivacea",6080,"Scarlet Tanager",1.25390919830186,3
"scoori","Icterus_parisorum",5040,"Scott's Oriole",1.9650516688707,1
"sctfly","Tyrannus_forficatus",4430,"Scissor-tailed Flycatcher",0.92134318908565,0
"seaspa","Ammodramus_maritimus",5500,"Seaside Sparrow",1.99858264698006,2
"sedwre","Cistothorus_platensis",7240,"Sedge Wren",1.69373802478772,4
"shicow","Molothrus_bonariensis",4961,"Shiny Cowbird",1.32818413774808,3
"shtgro","Tympanuchus_phasianellus",3080,"Sharp-tailed Grouse",1.90052177054636,6
"smbani","Crotophaga_ani",3830,"Smooth-billed Ani",2.25256708121301,6
"smilon","Calcarius_pictus",5370,"Smith's Longspur",1.6963371288978,2
"snobun","Plectrophenax_nivalis",5340,"Snow Bunting",1.6381436611315,1
"sonspa","Melospiza_melodia",5810,"Song Sparrow",0.924297932025829,0
"soogro1","Dendragapus_fuliginosus",2971,"Sooty Grouse",1.80089983204645,4
"spodov",NA,NA,NA,NA,0
"spotow","Pipilo_maculatus",5880,"Spotted Towhee",1.10040850423431,2
"sprpip","Anthus_spragueii",7000,"Sprague's Pipit",1.71592387145668,4
"sstspa","Ammodramus_caudacutus",5490,"Saltmarsh Sparrow",1.77943024528749,0
"stejay","Cyanocitta_stelleri",4780,"Steller's Jay",1.11952910229146,0
"subfly","Myiodynastes_luteiventris",4510,"Sulphur-bellied Flycatcher",1.85504989419762,0
"sumtan","Piranga_rubra",6100,"Summer Tanager",0.714954032294691,0
"swaspa","Melospiza_georgiana",5840,"Swamp Sparrow",0.708463690710773,1
"swathr","Catharus_ustulatus",7580,"Swainson's Thrush",0.808657696027499,1
"swawar","Limnothlypis_swainsonii",6380,"Swainson's Warbler",1.2852896019171,0
"tenwar","Vermivora_peregrina",6470,"Tennessee Warbler",0.803594203333908,1
"thbkin","Tyrannus_crassirostris",4451,"Thick-billed Kingbird",2.85119922663046,0
"towsol","Myadestes_townsendi",7540,"Townsend's Solitaire",1.25351395473458,1
"towwar","Dendroica_townsendi",6680,"Townsend's Warbler",1.21286885127013,0
"treswa","Tachycineta_bicolor",6140,"Tree Swallow",0.702102972699197,0
"tribla","Agelaius_tricolor",5000,"Tricolored Blackbird",1.28633529948402,2
"trokin","Tyrannus_melancholicus",4460,"Tropical Kingbird",1.77432975487213,0
"tropar","Parula_pitiayumi",6490,"Tropical Parula",2.23298055323439,0
"tuftit","Baeolophus_bicolor",7310,"Tufted Titmouse",1.27355284552284,4
"varbun","Passerina_versicolor",6000,"Varied Bunting",2.09377123906285,0
"varthr",NA,NA,NA,NA,0
"vauswi","Chaetura_vauxi",4240,"Vaux's Swift",1.7577496982825,0
"veery","Catharus_fuscescens",7560,"Veery",1.20902297333922,2
"verdin","Auriparus_flaviceps",7460,"Verdin",1.95054518946347,0
"verfly","Pyrocephalus_rubinus",4710,"Vermilion Flycatcher",1.51837098884553,1
"vesspa","Pooecetes_gramineus",5400,"Vesper Sparrow",1.59745346789834,4
"vichum","Amazilia_violiceps",4391,"Violet-crowned Hummingbird",2.80859634451162,0
"vigswa","Tachycineta_thalassina",6150,"Violet-green Swallow",1.03226762351913,0
"virwar","Vermivora_virginiae",6440,"Virginia's Warbler",1.26476272479883,2
"warvir","Vireo_gilvus",6270,"Warbling Vireo",0.921787948912837,1
"wesblu","Sialia_mexicana",7670,"Western Bluebird",1.09359885066967,3
"weskin","Tyrannus_verticalis",4470,"Western Kingbird",1.33100975488279,3
"wesmea","Sturnella_neglecta",5011,"Western Meadowlark",1.78041272698378,4
"westan","Piranga_ludoviciana",6070,"Western Tanager",0.904079937673251,0
"wewpew","Contopus_sordidulus",4620,"Western Wood-Pewee",0.741775812393072,0
"whbnut","Sitta_carolinensis",7270,"White-breasted Nuthatch",1.24366831385433,3
"whcpig2","Patagioenas_leucocephala",3140,"White-crowned Pigeon",2.41969819707683,5
"whcspa","Zonotrichia_leucophrys",5540,"White-crowned Sparrow",0.924782937591165,2
"whevir","Vireo_griseus",6310,"White-eyed Vireo",1.12556820485875,4
"whhwoo","Leuconotopicus_albolarvatus",3990,"White-headed Woodpecker",1.61570666078455,4
"whiwag","Motacilla_alba",6940,"White Wagtail",1.33780026717381,2
"whtdov","Leptotila_verreauxi",3180,"White-tipped Dove",1.7901715213316,0
"whtspa","Zonotrichia_albicollis",5580,"White-throated Sparrow",0.782786242791219,1
"whtswi","Aeronautes_saxatalis",4250,"White-throated Swift",1.30648353496594,2
"whwcro","Loxia_leucoptera",5220,"White-winged Crossbill",0.734316163134335,1
"whwdov","Zenaida_asiatica",3190,"White-winged Dove",1.47440059361769,0
"wilfly","Empidonax_traillii",4660,"Willow Flycatcher",1.23182538220304,4
"wilsap","Sphyrapicus_thyroideus",4040,"Williamson's Sapsucker",1.60605060962478,4
"wiltur","Meleagris_gallopavo",3100,"Wild Turkey",1.09471538073667,2
"winwre3","Troglodytes_hiemalis",7222,"Winter Wren",1.09009289306085,2
"wlswar","Wilsonia_pusilla",6850,"Wilson's Warbler",0.967031976731919,1
"woewar1","Helmitheros_vermivorum",6390,"Worm-eating Warbler",1.68481111347612,1
"wooscj2",NA,NA,NA,NA,0
"woothr","Hylocichla_mustelina",7550,"Wood Thrush",1.43103235611732,4
"wrenti","Chamaea_fasciata",7420,"Wrentit",1.04611315381094,2
"yebcha","Icteria_virens",6830,"Yellow-breasted Chat",0.894748928035822,5
"yebcuc","Coccyzus_americanus",3870,"Yellow-billed Cuckoo",0.921346273098217,4
"yebfly","Empidonax_flaviventris",4630,"Yellow-bellied Flycatcher",0.93946848559837,1
"yebmag","Pica_nuttalli",4760,"Yellow-billed Magpie",1.43053923219631,3
"yebsap","Sphyrapicus_varius",4020,"Yellow-bellied Sapsucker",1.03998526423884,2
"yecpar","Brotogeris_chiriri",52021,"Yellow-chevroned Parakeet",2.26609724152502,9
"yeejun","Junco_phaeonotus",5700,"Yellow-eyed Junco",1.06670266445188,1
"yehbla","Xanthocephalus_xanthocephalus",4970,"Yellow-headed Blackbird",1.85939373323674,4
"yelwar","Dendroica_petechia",6520,"Yellow Warbler",0.45701861342254,0
"yetvir","Vireo_flavifrons",6280,"Yellow-throated Vireo",1.27762789236171,4
"yetwar","Dendroica_dominica",6630,"Yellow-throated Warbler",1.13657462780458,0
