"common_name","habitat_selection","habitat_sd","habitat_ndvi_min","habitat_ndvi_max"
"Acadian Flycatcher",0.813926203693928,0.0336671797744954,0.685573583984375,0.866051220703125
"American Crow",0.792507702077519,0.0474788219052371,0.54136630859375,0.872385384114583
"American Goldfinch",0.789569715196857,0.0505795633665646,0.563454313151042,0.865068782552083
"American Redstart",0.762003521050347,0.066693085965388,0.685573583984375,0.808392610677083
"American Robin",0.747619961736232,0.0768696781118287,0.51302861328125,0.860430078125
"Barn Swallow",0.771726967938326,0.0491750898577905,0.556815323893229,0.831762201605903
"Black-and-white Warbler",0.824726972716532,0.0259227147126185,0.769561767578125,0.858621053059896
"Blackpoll Warbler",0.744068591308594,0.0280298253494205,0.716086604817708,0.779746818033854
"Blue Grosbeak",0.790871572215845,0.0345320471160082,0.70000263671875,0.866768986002604
"Blue Jay",0.791677692738809,0.045407933303634,0.556815323893229,0.866323990885417
"Blue-gray Gnatcatcher",0.799702155649331,0.0393605354862924,0.620225309244792,0.866768986002604
"Brown Thrasher",0.783197001418569,0.0511300109167919,0.51302861328125,0.8567328125
"Brown-headed Cowbird",0.784188697452237,0.0540750647283987,0.556815323893229,0.857130240885417
"Brown-headed Nuthatch",0.790593687927645,0.0379684413026862,0.649308536783854,0.855503515625
"Carolina Chickadee",0.796736901764133,0.0401191571048673,0.563454313151042,0.88166611328125
"Carolina Wren",0.788426077574297,0.0481644788463248,0.51302861328125,0.88166611328125
"Cedar Waxwing",0.793190275607639,0.0448786171268646,0.72003076171875,0.841951139322917
"Chimney Swift",0.770691285926833,0.0529066841105468,0.563454313151042,0.88166611328125
"Chipping Sparrow",0.788515509226341,0.0494699223563928,0.540246305338542,0.88166611328125
"Chuck-will's-widow",0.776826526150174,0.0183742586584371,0.745808715820312,0.795110324435764
"Cliff Swallow",0.740432011486235,0.00880202564334063,0.73348583984375,0.752805607096354
"Common Grackle",0.764767407579582,0.0507266123671641,0.556815323893229,0.841255501302083
"Common Yellowthroat",0.801035814512453,0.0332740828490636,0.711893123372396,0.872385384114583
"Dickcissel",0.74874638671875,NA,0.74874638671875,0.74874638671875
"Downy Woodpecker",0.794628038095328,0.0482726818896802,0.563454313151042,0.872385384114583
"Eastern Bluebird",0.789873711112342,0.0400999971156042,0.556815323893229,0.866323990885417
"Eastern Kingbird",0.793674362366056,0.035029323641046,0.716086604817708,0.855503515625
"Eastern Meadowlark",0.787855769503558,0.0327814242909731,0.709369921875,0.855503515625
"Eastern Phoebe",0.789775617621301,0.050244199164855,0.556815323893229,0.88166611328125
"Eastern Towhee",0.763070164715028,0.0715356013900823,0.51302861328125,0.872385384114583
"Eastern Whip-poor-will",0.820228644685664,0.0217769599374083,0.781071196831597,0.858816341145833
"Eastern Wood-Pewee",0.802902869206181,0.0308560748307203,0.714416935221354,0.88166611328125
"European Starling",0.747277810033163,0.0473739143065699,0.581231136067708,0.855503515625
"Field Sparrow",0.773087132636176,0.0313170275798557,0.709369921875,0.819305802408854
"Fish Crow",0.778202961113735,0.0590397774490788,0.616682169596354,0.860430078125
"Grasshopper Sparrow",0.769074175871261,0.0349837871431963,0.72003076171875,0.855503515625
"Gray Catbird",0.753253327648181,0.0634624713362803,0.564943660481771,0.8567328125
"Great Crested Flycatcher",0.794435836251607,0.0443278124847753,0.54136630859375,0.866323990885417
"Hairy Woodpecker",0.798593520052471,0.0422943171494345,0.679273356119792,0.866323990885417
"Hooded Warbler",0.833848677280971,0.0240054023026441,0.781813810221354,0.866768986002604
"Horned Lark",0.72003076171875,NA,0.72003076171875,0.72003076171875
"House Finch",0.761270670641716,0.06297110058659,0.51302861328125,0.843963199869792
"House Sparrow",0.72893222878196,0.0410931737202763,0.649308536783854,0.794354020182292
"Indigo Bunting",0.793961457104464,0.0395819979974201,0.5894984375,0.88166611328125
"Kentucky Warbler",0.82546126546224,0.0216543721021741,0.798435205078125,0.872385384114583
"Loggerhead Shrike",0.742320621744792,0,0.742320621744792,0.742320621744792
"Louisiana Waterthrush",0.813742963053385,0.0389888071632783,0.715914579264323,0.860407747395833
"Mourning Dove",0.793526847882584,0.0430193581151401,0.563454313151042,0.88166611328125
"Northern Bobwhite",0.799658899468316,0.0534658407831077,0.720085042317708,0.872385384114583
"Northern Cardinal",0.790302028744757,0.0510403665732916,0.51302861328125,0.88166611328125
"Northern Flicker",0.776587684913918,0.0560422632015842,0.666990747070313,0.844288639322917
"Northern House Wren",0.758656977058179,0.062926254999702,0.628189851888021,0.823604134114583
"Northern Mockingbird",0.776406649577217,0.0566834290518376,0.540246305338542,0.88166611328125
"Northern Parula",0.8109588875063,0.0321824364819516,0.7077130859375,0.860407747395833
"Northern Rough-winged Swallow",0.755709455425749,0.0508575354670796,0.580986287434896,0.820646875
"Orchard Oriole",0.775587368133922,0.0370947346345462,0.702601741536458,0.855503515625
"Ovenbird",0.808425703797177,0.0365368256293665,0.685573583984375,0.872385384114583
"Pileated Woodpecker",0.800305447842564,0.0325239510571725,0.717600244140625,0.858621053059896
"Pine Warbler",0.796304389444465,0.0512516823746913,0.555681567382812,0.88166611328125
"Prairie Warbler",0.804982201958074,0.0326107469481244,0.734689973958333,0.872385384114583
"Prothonotary Warbler",0.794354020182292,0,0.794354020182292,0.794354020182292
"Purple Martin",0.791022962812944,0.0305153781517872,0.709350553385417,0.855503515625
"Red-bellied Woodpecker",0.795082732647522,0.0413348359234416,0.594942240397136,0.88166611328125
"Red-eyed Vireo",0.806159664151114,0.0377257481903689,0.5894984375,0.88166611328125
"Red-headed Woodpecker",0.795338693472055,0.051468013822685,0.71311875406901,0.88166611328125
"Red-tailed Hawk",0.772937933110256,0.050818562943281,0.628189851888021,0.844950244140625
"Red-winged Blackbird",0.777050890765503,0.0418526153572414,0.649308536783854,0.844239729817708
"Ruby-throated Hummingbird",0.793629091513277,0.0327287802799599,0.71311875406901,0.860407747395833
"Scarlet Tanager",0.808231697591146,0.032453944665381,0.720085042317708,0.854870930989583
"Song Sparrow",0.723863370316117,0.0603457504392011,0.616682169596354,0.840844032118056
"Summer Tanager",0.803551329519353,0.0381395005088209,0.555681567382812,0.88166611328125
"Swainson's Thrush",0.832222001591435,0.0219179047846835,0.814144585503472,0.8566001953125
"Tree Swallow",0.775970922851563,0.0386844362926697,0.734369287109375,0.840119384765625
"Tufted Titmouse",0.794555784650606,0.0459433886181179,0.51302861328125,0.866323990885417
"White-breasted Nuthatch",0.803672534740408,0.039676321547464,0.659863248697917,0.866051220703125
"White-eyed Vireo",0.801712256282129,0.036435378915844,0.670439518229167,0.872385384114583
"Wild Turkey",0.795848056911892,0.034095115975179,0.720085042317708,0.851113004557292
"Wood Thrush",0.819490091959636,0.0315414326149593,0.685573583984375,0.88166611328125
"Worm-eating Warbler",0.8503306640625,NA,0.8503306640625,0.8503306640625
"Yellow-billed Cuckoo",0.802985731667413,0.0353134006863521,0.717600244140625,0.872385384114583
"Yellow-breasted Chat",0.801482231903076,0.0395982823587204,0.709369921875,0.872385384114583
"Yellow-throated Vireo",0.813532528799552,0.0332028057527925,0.720085042317708,0.855503515625
"Yellow-throated Warbler",0.81721872561862,0.0359242966985072,0.70000263671875,0.88166611328125
